query,intent,all_intents,persona,batch_id
Can you help with my webcam? It's missing parts and I am looking to terrible service.,complaints,complaints,neutral,1
"Good day.
Regarding the keyboard I got last week, it is poor quality and I need to warranty claim it as well as update items in.
Have a great day.",warranty_replacement,"warranty_replacement, order_modification",polite,1
My USB cable is wrong item. How do I handle searching for? Let me know ASAP!,product_search,product_search,frustrated,1
"Can you help with my laptop charger? It's not working and I am looking to unacceptable quality. Another thing, I also need to promo code not working for a different isue. need support",complaints,"complaints, discounts_offers",neutral,1
"Good day. Regarding the microphone I got just now, it is not working and I need to reimburse me for it. Have a great day.",refunds,refunds,polite,1
"I am do you carry the wireless headphones. Another thing, I also need to unacceptable quality for a different issue. Please resolve this immediately. help asap",product_search,"product_search, complaints",frustrated,1
I am completely lost. My mouse is scratched. How do I handle payment failed at checkout? and stop shipment. Can you walk me through this step by step?,payment_issues,"payment_issues, order_cancellation",confused,1
"Hey, I need some clarity. My keyboard is scratched. How do I handle delivered to wrong house? Can you walk me through this step by step?",delivery_issues,delivery_issues,confused,1
"Hello, hope you are doing well. My webcam is missing parts. How do I handle delivered to wrong house? as well as return this. Appreciate your time!",delivery_issues,"delivery_issues, returns",polite,1
"Hey, I need some clarity. I am card declined the Bluetooth speaker as well as swap under warranty. Can you walk me through this step by step? urgent",payment_issues,"payment_issues, warranty_replacement",confused,1
I am stop shipment the monitor. ??,order_cancellation,order_cancellation,neutral,1
"This is unacceptable.
Regarding the wireless headphones I got 2 days ago, it is broken and I need to where is my it.
Another thing, I also need to cannot login for a different issue.
Let me know ASAP! !!!",order_tracking,"order_tracking, account_issues",angry,1
I am card declined the microphone. Let me know ASAP!,payment_issues,payment_issues,frustrated,1
I am highly annoyed. My wireless headphones is poor quality. How do I handle cancel my order? Let me know ASAP!,order_cancellation,order_cancellation,angry,1
"Good day. Can you help with my webcam? It's damaged and I am looking to modify my order. Another thing, I also need to charged twice for a different issue. Thank you for your assistance.",order_modification,"order_modification, payment_issues",polite,1
I am highly annoyed. My keyboard is poor quality. How do I handle card declined? Please resolve this immediately.,payment_issues,payment_issues,angry,1
"Unbelievable service. My Bluetooth speaker is missing parts. How do I handle update items in? Another thing, I also need to swap under warranty for a different issue. Waiting for your prompt response.",order_modification,"order_modification, warranty_replacement",angry,1
My keyboard is missing parts. How do I handle track status of?,order_tracking,order_tracking,neutral,1
I am promo code not working the mouse.,discounts_offers,discounts_offers,neutral,1
"Another thing, I also need to vs for a different issue. need support",discounts_offers,"discounts_offers, product_comparison",impatient,1
"Hey, I need some clarity. My Bluetooth speaker is broken. How do I handle vs? Also, change shipping address for a different issue. What should my next step be?",product_comparison,"product_comparison, order_modification",confused,1
"Hi there! I am modify my ordr the wireless headphones. Another thing, I also need to get money back for a different issu. Have a great day. need support",order_modification,"order_modification, refunds",polite,1
"Hello, hope you are doing well.
My smartphone case is scratched. How do I handle payment failed at checkout?
Appreciate your time!",payment_issues,payment_issues,polite,1
Can you also help me cannot login for a different issue. help asap,order_tracking,"order_tracking, account_issues",impatient,1
My Bluetooth speaker is missing parts. How do I handle modify my order?,order_modification,order_modification,neutral,1
"THIS IS UNACCEPTABLE.
REGARDING THE SMARTPHONE CASE I GOT TODAY, IT IS SCRATCHED AND I NEED TO ACCOUNT LOCKED IT.
ANOTHER THING, I ALSO NEED TO CHARGED TWICE FOR A DIFFERENT ISSUE.
PLEASE RESOLVE THIS IMMEDIATELY.",account_issues,"account_issues, payment_issues",angry,1
Good day. Can you help with my mouse? It's not working and I am looking to update items in. Have a great day.,order_modification,order_modification,polite,1
"This is unacceptable.
I am any active discounts the microphone and don't want this anymore.
Waiting for your prompt response. ??",discounts_offers,"discounts_offers, order_cancellation",angry,1
"I am highly annoyed. Can you help with my keyboard? It's damaged and I am looking to difference between. Also, charged twice for a different issue. Please resolve this immediately.",product_comparison,"product_comparison, payment_issues",angry,1
"Hello, hope you are doing well. Can you help with my webcam? It's broken and I am looking to very disappointed. Thank you for your assistance.",complaints,complaints,polite,1
Hi there! Can you help with my webcam? It's damaged and I am looking to delayed shipment. Have a great day.,delivery_issues,delivery_issues,polite,1
"Hi there!
Regarding the laptop charger I got just now, it is wrong item and I need to warranty claim it.
Have a great day.",warranty_replacement,warranty_replacement,polite,1
I am highly annoyed. Can you help with my wireless headphones? It's damaged and I am looking to has it shipped yet. Waiting for your prompt response.,order_tracking,order_tracking,angry,1
"Hey, I need some clarity. I am vs the keyboard. What should my next step be?",product_comparison,product_comparison,confused,1
"Hey, I need some clarity. Regarding the USB cable I got today, it is wrong item and I need to do you carry it. What should my next step be?",product_search,product_search,confused,1
"I am highly annoyed. Regarding the wireless headphones I got 2 days ago, it is damaged and I need to delayed shipment it as well as get money back. Let me know ASAP!",delivery_issues,"delivery_issues, refunds",angry,1
I am account locked the webcam. !!!,account_issues,account_issues,neutral,1
"Hey, I need some clarity.
Regarding the laptop charger I got just now, it is missing parts and I need to return policy for it.
Can you walk me through this step by step?",returns,returns,confused,1
"Hello, hope you are doing well.
I am request a refund the laptop charger and charged twice.
Have a great day. urgent",refunds,"refunds, payment_issues",polite,1
My USB cable is damaged. How do I handle send back? ??,returns,returns,neutral,1
"Regarding the mouse I got today, it is wrong item and I need to charged twice it. Another thing, I also need to any active discounts for a different issue. Waiting for your prompt response.",payment_issues,"payment_issues, discounts_offers",frustrated,1
"Can you help with my wireless headphones? It's broken and I am looking to package stolen.
Another thing, I also need to better choice compared to for a different issue.",delivery_issues,"delivery_issues, product_comparison",neutral,1
Not entirely sure how this works. Can you help with my laptop charger? It's poor quality and I am looking to where is my. What should my next step be?,order_tracking,order_tracking,confused,1
"Hey, I need some clarity. I am request a refund the monitor. Can you walk me through this step by step? ??",refunds,refunds,confused,1
Please resolve this immediately. pls help,account_issues,account_issues,impatient,1
"Hello, hope you are doing well.
My smartphone case is defective. How do I handle best option for?
Have a great day.",product_recommendation,product_recommendation,polite,1
"Another thing, I also need to send back for a different issue. !!!",payment_issues,"payment_issues, returns",impatient,1
"My Bluetooth speaker is scratched. How do I handle cannot login?
Another thing, I also need to cancel my order for a different issue. urgent",account_issues,"account_issues, order_cancellation",neutral,1
"Hey, I need some clarity.
Regarding the smartphone case I got 2 days ago, it is not working and I need to card declined it.
What should my next step be?",payment_issues,payment_issues,confused,1
"I am better choice compared to the laptop charger.
Please resolve this immediately.",product_comparison,product_comparison,frustrated,1
"Unbelievable service.
I am do you carry the laptop charger.
Waiting for your prompt response.",product_search,product_search,angry,1
"Hi there!
Can you help with my keyboard? It's not working and I am looking to return this.
Have a great day. urgent",returns,returns,polite,1
"Not entirely sure how this works.
My monitor is scratched. How do I handle apply coupon?
Can you walk me through this step by step?",discounts_offers,discounts_offers,confused,1
"My keyboard is damaged. How do I handle apply coupon? as well as track status of.
Waiting for your prompt response.",discounts_offers,"discounts_offers, order_tracking",frustrated,1
This is unacceptable. I am difference between the mouse. Waiting for your prompt response.,product_comparison,product_comparison,angry,1
I am don't want this anymore the wireless headphones.,order_cancellation,order_cancellation,neutral,1
Can you help with my laptop charger? It's damaged and I am looking to track status of. Please resolve this immediately.,order_tracking,order_tracking,frustrated,1
I am completely lost. Can you help with my microphone? It's broken and I am looking to terrible service and payment failed at checkout. What should my next step be?,complaints,"complaints, payment_issues",confused,1
Let me know ASAP! urgent,product_recommendation,"product_recommendation, product_comparison",impatient,1
"I am payment failed at checkout the wireless headphones. Also, delayed shipment for a different issue. Let me know ASAP!",payment_issues,"payment_issues, delivery_issues",frustrated,1
Can you help with my smartphone case? It's not working and I am looking to change shipping address.,order_modification,order_modification,neutral,1
"Regarding the Bluetooth speaker I got last week, it is broken and I need to card declined it. Let me know ASAP!",payment_issues,payment_issues,frustrated,1
"Hey, I need some clarity.
I am difference between the keyboard.
Also, delivered to wrong house for a different issue.
What should my next step be?",product_comparison,"product_comparison, delivery_issues",confused,1
I am charged twice the keyboard. ??,payment_issues,payment_issues,neutral,1
"My keyboard is not working. How do I handle don't want this anymore? Also, best option for for a different issue. Let me know ASAP!",order_cancellation,"order_cancellation, product_recommendation",frustrated,1
"Regarding the wireless headphones I got last week, it is missing parts and I need to best option for it.
Also, warranty claim for a different isue.",product_recommendation,"product_recommendation, warranty_replacement",neutral,1
Good day. Can you help with my laptop charger? It's damaged and I am looking to reset password and best option for. Thank you for your assistance. help asap,account_issues,"account_issues, product_recommendation",polite,1
I am charged twice the monitor and looking for.,payment_issues,"payment_issues, product_search",neutral,1
"Good day.
I am payment failed at checkout the webcam.
Appreciate your time!",payment_issues,payment_issues,polite,1
I am find a the mouse.,product_search,product_search,neutral,1
My laptop charger is poor quality. How do I handle charged twice?,payment_issues,payment_issues,neutral,1
"UNBELIEVABLE SERVICE.
CAN YOU HELP WITH MY WIRELESS HEADPHONES? IT'S POOR QUALITY AND I AM LOOKING TO STOP SHIPMENT.
LET ME KNOW ASAP!",order_cancellation,order_cancellation,angry,1
"Not entirely sure how this works.
My keyboard is defective. How do I handle account locked?
What should my next step be?",account_issues,account_issues,confused,1
"I am completely lost. Can you help with my wireless headphones? It's scratched and I am looking to reset password. Another thing, I also need to warranty claim for a different issue. What should my next step be? need support",account_issues,"account_issues, warranty_replacement",confused,1
"Good day. Regarding the mouse I got last week, it is broken and I need to better choice compared to it. Appreciate your time!",product_comparison,product_comparison,polite,1
My USB cable is damaged. How do I handle has it shipped yet? Let me know ASAP!,order_tracking,order_tracking,frustrated,1
My smartphone case is defective. How do I handle better choice compared to?,product_comparison,product_comparison,neutral,1
"Regarding the USB cable I got last week, it is not working and I need to delivered to wrong house it. Also, recommendation for for a different issue. Please resolve this immediately.",delivery_issues,"delivery_issues, product_recommendation",frustrated,1
"Can you help with my webcam? It's poor quality and I am looking to return this.
Please resolve this immediately.",returns,returns,frustrated,1
"I am highly annoyed.
Regarding the laptop charger I got last week, it is defective and I need to don't want this anymore it as well as unacceptable quality.
Let me know ASAP! need support",order_cancellation,"order_cancellation, complaints",angry,1
"This is unacceptable.
I am apply coupon the microphone.
Please resolve this immediately.",discounts_offers,discounts_offers,angry,1
Waiting for your prompt response. help asap,refunds,refunds,impatient,1
"Good day.
Can you help with my Bluetooth speaker? It's scratched and I am looking to replace broken item.
Also, delivered to wrong house for a different issue.
Appreciate your time!",warranty_replacement,"warranty_replacement, delivery_issues",polite,1
"Can you help with my microphone? It's poor quality and I am looking to very disappointed.
Waiting for your prompt response.",complaints,complaints,frustrated,1
"This is unacceptable. Regarding the laptop charger I got just now, it is defective and I need to request a refund it. Another thing, I also need to cannot login for a different issue. Please resolve this immediately.",refunds,"refunds, account_issues",angry,1
Can you help with my Bluetooth speaker? It's missing parts and I am looking to change shipping address. urgent,order_modification,order_modification,neutral,1
My keyboard is poor quality. How do I handle reimburse me for? Let me know ASAP!,refunds,refunds,frustrated,1
Can you help with my laptop charger? It's wrong item and I am looking to card declined.,payment_issues,payment_issues,neutral,1
"Good day.
My mouse is poor quality. How do I handle apply coupon?
Appreciate your time! !!!",discounts_offers,discounts_offers,polite,1
"My laptop charger is broken. How do I handle any active discounts?
Please resolve this immediately.",discounts_offers,discounts_offers,frustrated,1
"Regarding the monitor I got yesterday, it is wrong item and I need to return this it. Let me know ASAP!",returns,returns,frustrated,1
"Also, get money back for a different issue. !!!",discounts_offers,"discounts_offers, refunds",impatient,1
This is unacceptable. My monitor is missing parts. How do I handle cannot login? and vs. Waiting for your prompt response.,account_issues,"account_issues, product_comparison",angry,1
Not entirely sure how this works. I am best option for the keyboard and change shipping address. Can you walk me through this step by step?,product_recommendation,"product_recommendation, order_modification",confused,1
"I am delayed shipment the webcam.
Please resolve this immediately.",delivery_issues,delivery_issues,frustrated,1
"This is unacceptable.
Can you help with my webcam? It's wrong item and I am looking to has it shipped yet and cancel my order.
Waiting for your prompt response. ??",order_tracking,"order_tracking, order_cancellation",angry,1
"This is unacceptable.
Can you help with my monitor? It's broken and I am looking to payment failed at checkout.
Waiting for your prompt response.",payment_issues,payment_issues,angry,1
"Hello, hope you are doing well. Regarding the keyboard I got 2 days ago, it is damaged and I need to better choice compared to it and request a refund. Have a great day.",product_comparison,"product_comparison, refunds",polite,1
"Hello, hope you are doing well.
Regarding the monitor I got yesterday, it is missing parts and I need to recommendation for it.
Thank you for your assistance. help asap",product_recommendation,product_recommendation,polite,1
I am completely lost. My laptop charger is poor quality. How do I handle package stolen? What should my next step be?,delivery_issues,delivery_issues,confused,1
"Can you help with my webcam? It's damaged and I am looking to return policy for.
Please resolve this immediately.",returns,returns,frustrated,1
THIS IS UNACCEPTABLE. CAN YOU HELP WITH MY USB CABLE? IT'S BROKEN AND I AM LOOKING TO RESET PASSWORD AND REQUEST A REFUND. PLEASE RESOLVE THIS IMMEDIATELY.,account_issues,"account_issues, refunds",angry,1
"Hey, I need some clarity.
I am return policy for the webcam.
Can you walk me through this step by step?",returns,returns,confused,1
"Not entirely sure how this works.
I am don't want this anymore the laptop charger.
Can you walk me through this step by step? urgent",order_cancellation,order_cancellation,confused,1
"Regarding the microphone I got today, it is defective and I need to difference between it.",product_comparison,product_comparison,neutral,1
"Regarding the Bluetooth speaker I got today, it is damaged and I need to payment failed at checkout it. Also, modify my order for a different issue. !!!",payment_issues,"payment_issues, order_modification",neutral,1
I am completely lost. My smartphone case is broken. How do I handle return this? as well as difference between. Can you walk me through this step by step?,returns,"returns, product_comparison",confused,1
"Hey, I need some clarity.
My Bluetooth speaker is defective. How do I handle request a refund? as well as any active discounts.
What should my next step be?",refunds,"refunds, discounts_offers",confused,1
Can you help with my USB cable? It's damaged and I am looking to reset password. Please resolve this immediately.,account_issues,account_issues,frustrated,1
Not entirely sure how this works. My mouse is poor quality. How do I handle get money back? and stop shipment. Can you walk me through this step by step? !!!,refunds,"refunds, order_cancellation",confused,1
"Can you help with my mouse? It's missing parts and I am looking to reset password.
Also, change shipping address for a different issue.
Waiting for your prompt response. !!!",account_issues,"account_issues, order_modification",frustrated,1
"Good day.
I am track status of the Bluetooth speaker.
Have a great day. ??",order_tracking,order_tracking,polite,1
I am card declined the smartphone case. Let me know ASAP! !!!,payment_issues,payment_issues,frustrated,1
My USB cable is not working. How do I handle do you carry? Can you also help me package stolen for a different issue.,product_search,"product_search, delivery_issues",neutral,1
"I am completely lost.
I am delivered to wrong house the keyboard.
Can you walk me through this step by step?",delivery_issues,delivery_issues,confused,1
I am send back the smartphone case.,returns,returns,neutral,1
"Can you help with my mouse? It's wrong item and I am looking to best option for.
Waiting for your prompt response.",product_recommendation,product_recommendation,frustrated,1
"Hello, hope you are doing well. Can you help with my smartphone case? It's defective and I am looking to has it shipped yet. Appreciate your time!",order_tracking,order_tracking,polite,1
"Hey, I need some clarity.
Can you help with my microphone? It's not working and I am looking to unacceptable quality.
Can you also help me where is my for a different issue.
Can you walk me through this step by step?",complaints,"complaints, order_tracking",confused,1
I am replace broken item the laptop charger.,warranty_replacement,warranty_replacement,neutral,1
"My Bluetooth speaker is damaged. How do I handle request a refund? Also, unacceptable quality for a different issue. Waiting for your prompt response.",refunds,"refunds, complaints",frustrated,1
"I am completely lost.
Can you help with my Bluetooth speaker? It's missing parts and I am looking to update items in.
Can you walk me through this step by step?",order_modification,order_modification,confused,1
"My keyboard is defective. How do I handle searching for? as well as update items in.
Let me know ASAP!",product_search,"product_search, order_modification",frustrated,1
"Regarding the monitor I got today, it is not working and I need to reset password it.
Waiting for your prompt response.",account_issues,account_issues,frustrated,1
"I am completely lost.
My webcam is scratched. How do I handle get money back?
Another thing, I also need to reset password for a different issue.
What should my next step be?",refunds,"refunds, account_issues",confused,1
"I am terrible service the keyboard.
Waiting for your prompt response.",complaints,complaints,frustrated,1
"Good day.
I am where is my the Bluetooth speaker.
Can you also help me promo code not working for a different issue.
Appreciate your time!",order_tracking,"order_tracking, discounts_offers",polite,1
"Regarding the monitor I got 2 days ago, it is missing parts and I need to payment failed at checkout it.",payment_issues,payment_issues,neutral,1
Unbelievable service. My keyboard is damaged. How do I handle any active discounts? and better choice compared to. Waiting for your prompt response.,discounts_offers,"discounts_offers, product_comparison",angry,1
I am return policy for the smartphone case. Let me know ASAP! !!!,returns,returns,frustrated,1
"Unbelievable service.
Regarding the microphone I got 2 days ago, it is broken and I need to return policy for it.
Let me know ASAP!",returns,returns,angry,1
"Regarding the wireless headphones I got today, it is damaged and I need to has it shipped yet it.
Let me know ASAP!",order_tracking,order_tracking,frustrated,1
My monitor is wrong item. How do I handle swap under warranty? !!!,warranty_replacement,warranty_replacement,neutral,1
"THIS IS UNACCEPTABLE. REGARDING THE MONITOR I GOT TODAY, IT IS SCRATCHED AND I NEED TO HAS IT SHIPPED YET IT AND CANCEL MY ORDER. WAITING FOR YOUR PROMPT RESPONSE. need support",order_tracking,"order_tracking, order_cancellation",angry,1
"Hello, hope you are doing well. Can you help with my monitor? It's wrong item and I am looking to get money back. Another thing, I also need to warranty claim for a different issue. Have a great day. ??",refunds,"refunds, warranty_replacement",polite,1
"This is unacceptable.
Regarding the wireless headphones I got just now, it is broken and I need to swap under warranty it.
Another thing, I also need to looking for for a different issue.
Please resolve this immediately.",warranty_replacement,"warranty_replacement, product_search",angry,1
Unbelievable service. I am charged twice the mouse. Can you also help me get money back for a different issue. Waiting for your prompt response.,payment_issues,"payment_issues, refunds",angry,1
"THIS IS UNACCEPTABLE. REGARDING THE LAPTOP CHARGER I GOT TODAY, IT IS NOT WORKING AND I NEED TO RETURN THIS IT. CAN YOU ALSO HELP ME UNACCEPTABLE QUALITY FOR A DIFFERENT ISSUE. LET ME KNOW ASAP!",returns,"returns, complaints",angry,1
I am payment failed at checkout the smartphone case.,payment_issues,payment_issues,neutral,1
"I am highly annoyed.
Can you help with my Bluetooth speaker? It's defective and I am looking to account locked.
Waiting for your prompt response.",account_issues,account_issues,angry,1
"Unbelievable service.
I am apply coupon the mouse and card declined.
Please resolve this immediately.",discounts_offers,"discounts_offers, payment_issues",angry,1
"Hey, I need some clarity.
Can you help with my USB cable? It's defective and I am looking to recommendation for.
What should my next step be?",product_recommendation,product_recommendation,confused,1
This is unacceptable. Can you help with my monitor? It's broken and I am looking to promo code not working. Waiting for your prompt response.,discounts_offers,discounts_offers,angry,1
"Not entirely sure how this works.
My smartphone case is poor quality. How do I handle get money back?
Can you also help me package stolen for a different isue.
What should my next step be?",refunds,"refunds, delivery_issues",confused,1
I am terrible service the laptop charger.,complaints,complaints,neutral,1
"Good day. My wireless headphones is defective. How do I handle best option for? Also, vs for a different issue. Thank you for your assistance.",product_recommendation,"product_recommendation, product_comparison",polite,1
"Hi there! Regarding the Bluetooth speaker I got just now, it is wrong item and I need to delayed shipment it. Can you also help me return policy for for a different issue. Thank you for your assistance. urgent",delivery_issues,"delivery_issues, returns",polite,1
My laptop charger is scratched. How do I handle recommendation for?,product_recommendation,product_recommendation,neutral,1
Hi there! I am request a refund the microphone and charged twice. Have a great day.,refunds,"refunds, payment_issues",polite,1
"Regarding the microphone I got last week, it is defective and I need to delayed shipment it.",delivery_issues,delivery_issues,neutral,1
