doc_id,conversation_id,turn_index,tweet_id,author_id,speaker_type,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,source
119253,119253,1,119253,105839,customer,True,2017-10-11 07:21:34+00:00,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,119252,,twitter_support
119252,119253,2,119252,AppleSupport,support,False,2017-10-11 13:40:27+00:00,Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,,119253,twitter_support
119256,119256,1,119256,105840,customer,True,2017-10-11 12:53:29+00:00,Please help! Spotify Premium skipping through songs constantly on android tablet & bluetooth speaker. Tried everything!,119254,,twitter_support
119254,119256,2,119254,SpotifyCares,support,False,2017-10-11 13:41:25+00:00,"Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY",119255,119256,twitter_support
119255,119256,3,119255,105840,customer,True,2017-10-11 13:45:59+00:00,Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,119257,119254,twitter_support
119257,119256,4,119257,SpotifyCares,support,False,2017-10-11 14:00:48+00:00,Thanks. The distance could possibly affect playback. Does logging out > restarting your device > logging back in make a difference? /AY,119258,119255,twitter_support
119258,119256,5,119258,105840,customer,True,2017-10-11 14:01:58+00:00,"No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!",119259,119257,twitter_support
119259,119256,6,119259,SpotifyCares,support,False,2017-10-11 14:20:00+00:00,"That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY",119260,119258,twitter_support
119260,119256,7,119260,105840,customer,True,2017-10-11 14:22:05+00:00,Brilliant thanks 😊,119261,119259,twitter_support
119261,119256,8,119261,SpotifyCares,support,False,2017-10-11 14:41:35+00:00,"You're welcome! If there's anything else we can help with, just give us a shout. We're here for you 😉 /CP",,119260,twitter_support
119263,119263,1,119263,105841,customer,True,2017-10-11 06:29:07+00:00,"after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",119262,,twitter_support
119262,119263,2,119262,AppleSupport,support,False,2017-10-11 13:30:39+00:00,We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors.,,119263,twitter_support
119265,119265,1,119265,105842,customer,True,2017-10-11 10:42:43+00:00,First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates,"119264,119266",,twitter_support
119264,119265,2,119264,British_Airways,support,False,2017-10-11 13:36:31+00:00,"We're sorry your flight has been delayed, Beatner. Are you travelling on the BA8733? If so, the updated departure time we have is 15:30. 1/2",,119265,twitter_support
119266,119265,3,119266,British_Airways,support,False,2017-10-11 13:37:15+00:00,"I appreciate it's after 15:30 now, so hopefully you will depart very soon. We're sorry for any inconvenience the delay has caused. 2/2 ^JR",119302,119265,twitter_support
119302,119265,4,119302,105842,customer,True,2017-10-11 13:47:24+00:00,"Thanks for your answer. Response onsite was that Aircraft will not depart today, so rebooking to @105853 with now 4h delay...",119303,119266,twitter_support
119303,119265,5,119303,British_Airways,support,False,2017-10-11 16:28:34+00:00,Very sorry to hear this. We hope you get everything sorted. Kind Regards ^Jools,,119302,twitter_support
119268,119268,1,119268,105843,customer,True,2017-10-11 06:27:16+00:00,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,119267,,twitter_support
119267,119268,2,119267,AppleSupport,support,False,2017-10-11 13:30:38+00:00,"Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there.",,119268,twitter_support
119272,119272,1,119272,105844,customer,True,2017-10-11 02:19:23+00:00,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,119271,,twitter_support
119271,119272,2,119271,AppleSupport,support,False,2017-10-11 03:26:00+00:00,We'd be happy to help. Send us a DM and we can start there.,119270,119272,twitter_support
119270,119272,3,119270,105844,customer,True,2017-10-11 06:49:50+00:00,"Can you get my iPhone 7plus back on the old iOS please? Battery runs out in half the time, apps now frequently crash.",119269,119271,twitter_support
119269,119272,4,119269,AppleSupport,support,False,2017-10-11 13:30:12+00:00,Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,,119270,twitter_support
119274,119274,1,119274,82476,customer,True,2017-10-11 12:50:07+00:00,"I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name?",119273,,twitter_support
119273,119274,2,119273,O2,support,False,2017-10-11 13:13:14+00:00,"🤔 We'd like to help Sam, which number is calling you? Please DM us more info so we can advise further.",,119274,twitter_support
119276,119276,1,119276,105845,customer,True,2017-10-11 13:38:04+00:00,My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. @77245,119275,,twitter_support
119275,119276,2,119275,comcastcares,support,False,2017-10-11 13:42:46+00:00,"I understand this is a frustrating experience, please send a DM with your account information so I can look into this matter for you. -AD",,119276,twitter_support
119278,119278,1,119278,105676,customer,True,2017-10-11 13:24:06+00:00,I service last 40 min sprint can I get a refund,119277,,twitter_support
119277,119278,2,119277,sprintcare,support,False,2017-10-11 13:29:53+00:00,I understand how you frustrated this situation can be. Please follow us by sending a DM for further assistance. Sprint Cares. -AC,,119278,twitter_support
119280,119280,1,119280,105846,customer,True,2017-10-11 07:13:34+00:00,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,119279,,twitter_support
119279,119280,2,119279,AppleSupport,support,False,2017-10-11 13:35:01+00:00,We'd like to help. What happens when you try to listen to Apple Music & use WhatsApp? Does the music pause? Let us know in DM.,,119280,twitter_support
119283,119283,1,119283,105847,customer,True,2017-10-11 12:37:46+00:00,i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,119281,,twitter_support
119281,119283,2,119281,SpotifyCares,support,False,2017-10-11 13:31:32+00:00,Hi Harry! Help's here. Can you check if logging out > restarting your device > logging back in makes a difference? Keep us posted /MU,119282,119283,twitter_support
119282,119283,3,119282,105847,customer,True,2017-10-11 13:46:20+00:00,seems to be working at this stage. Will let you know if it happens again. Cheers,119284,119281,twitter_support
119284,119283,4,119284,SpotifyCares,support,False,2017-10-11 14:07:15+00:00,Sure thing. We'll keep an eye out for your update /MU,119285,119282,twitter_support
119285,119283,5,119285,105847,customer,True,2017-10-12 10:25:35+00:00,problem has come back again today. is there some kind of bug?,119286,119284,twitter_support
119286,119283,6,119286,SpotifyCares,support,False,2017-10-12 11:43:57+00:00,"Thanks for giving us a nudge about this. What device, operating system, and Spotify version is this happening on? /AY",119287,119285,twitter_support
119287,119283,7,119287,105847,customer,True,2017-10-12 12:04:21+00:00,"It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",119288,119286,twitter_support
119288,119283,8,119288,SpotifyCares,support,False,2017-10-12 12:09:13+00:00,Got it. Can you try the steps here for us: They should help with this. Let us know how it plays out /AY,,119287,twitter_support
119292,119292,1,119292,105848,customer,True,2017-10-11 08:06:34+00:00,#ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,119289,,twitter_support
119289,119292,2,119289,AppleSupport,support,False,2017-10-11 13:44:29+00:00,Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply.,"119290,119291",119292,twitter_support
119290,119292,3,119290,105848,customer,True,2017-10-11 13:48:49+00:00,Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,,119289,twitter_support
119291,119292,4,119291,105848,customer,True,2017-10-11 15:44:02+00:00,Super help - problem solved 😀 once again in love with Apple,,119289,twitter_support
119294,119294,1,119294,105849,customer,True,2017-10-11 07:03:47+00:00,"Took my phone off charge at 7:20am. 8:03am - 60% battery remaining. @76099 plz I beg you, sort your battery life out😩",119293,,twitter_support
119293,119294,2,119293,AppleSupport,support,False,2017-10-11 13:30:00+00:00,Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,,119294,twitter_support
119297,119297,1,119297,105850,customer,True,2017-10-11 13:34:46+00:00,Just curious....will I get the companion pass the exact moment I get enough points? It will I have to wait? Thanks!,119295,,twitter_support
119295,119297,2,119295,SouthwestAir,support,False,2017-10-11 13:39:32+00:00,"Once the points load and you hit the number, you get it immediately! You'll even receive a congrats email. Are you almost there? ^AC",119296,119297,twitter_support
119296,119297,3,119296,105850,customer,True,2017-10-11 13:55:48+00:00,I am! Thank you for the answer!!,,119295,twitter_support
119299,119299,1,119299,105851,customer,True,2017-10-11 07:16:18+00:00,I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,119298,,twitter_support
119298,119299,2,119298,AppleSupport,support,False,2017-10-11 13:34:00+00:00,We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there.,,119299,twitter_support
119301,119301,1,119301,105852,customer,True,2017-10-11 08:50:14+00:00,fix this update. It’s horrible,119300,,twitter_support
119300,119301,2,119300,AppleSupport,support,False,2017-10-11 13:31:27+00:00,"Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there.",,119301,twitter_support
119306,119306,1,119306,105854,customer,True,2017-10-11 13:27:49+00:00,I guess this means free cable for the neighborhood.,"119304,119307",,twitter_support
119304,119306,2,119304,Ask_Spectrum,support,False,2017-10-11 13:42:00+00:00,"I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass...",119305,119306,twitter_support
119305,119306,3,119305,105854,customer,True,2017-10-11 13:49:52+00:00,It's just in my yard. I've called 4-5 times in 6 weeks. I'm not a customer but it's pretty tempting. I do have some coaxial,,119304,twitter_support
119315,119315,1,119315,105855,customer,True,2017-10-11 12:14:41+00:00,Got id's @Tesco for buying one Adnams Broadside. Is being blind part of the job-spec? I am 35 and 99 kilos.,"119316,119314",,twitter_support
119314,119315,2,119314,Tesco,support,False,2017-10-11 12:17:02+00:00,"Hi Thomas, we operate a Think 25 policy at our stores. I'd be flattered to be ID'd. :-) - Helena",119313,119315,twitter_support
119313,119315,3,119313,105855,customer,True,2017-10-11 12:29:52+00:00,Uk offlicense law is 18. Not 25,119311,119314,twitter_support
119311,119315,4,119311,Tesco,support,False,2017-10-11 13:28:34+00:00,"Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda","119310,119312",119313,twitter_support
119310,119315,5,119310,105855,customer,True,2017-10-11 13:31:06+00:00,The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,119308,119311,twitter_support
119308,119315,6,119308,Tesco,support,False,2017-10-11 13:33:07+00:00,"Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",119309,119310,twitter_support
119309,119315,7,119309,105855,customer,True,2017-10-11 13:33:43+00:00,Maybe hire colleagues who can see?,,119308,twitter_support
119319,119319,1,119319,105856,customer,True,2017-10-11 13:36:32+00:00,"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.",119317,,twitter_support
119317,119319,2,119317,Tesco,support,False,2017-10-11 13:42:19+00:00,"Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",119318,119319,twitter_support
119318,119319,3,119318,105856,customer,True,2017-10-11 13:43:09+00:00,Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,119320,119317,twitter_support
119320,119319,4,119320,Tesco,support,False,2017-10-11 13:45:00+00:00,"Hi there, as long as you sign out of your account prior to deleting your cache & cookies, you'll still have a full basket :) Thanks - Mike",119321,119318,twitter_support
119321,119319,5,119321,105856,customer,True,2017-10-11 13:48:39+00:00,Done all that. Still telling me there are no delivery slots whatsoever.,119322,119320,twitter_support
119322,119319,6,119322,Tesco,support,False,2017-10-11 13:49:29+00:00,"Can you DM me your full name, address and email? I'd be happy to look into this further for you :) Thanks - Mike",,119321,twitter_support
119326,119326,1,119326,105857,customer,True,2017-10-10 23:09:08+00:00,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,119325,,twitter_support
119325,119326,2,119325,AppleSupport,support,False,2017-10-11 00:19:34+00:00,We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,119324,119326,twitter_support
119324,119326,3,119324,105857,customer,True,2017-10-11 08:52:14+00:00,I have the latest version iOS. It started immediately after I updated my phone.,119323,119325,twitter_support
119323,119326,4,119323,AppleSupport,support,False,2017-10-11 13:55:31+00:00,Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,,119324,twitter_support
119328,119328,1,119328,105858,customer,True,2017-10-11 02:04:50+00:00,Problem with printhead Serial# TH536D1HN #hpcswus #hpprnt,119327,,twitter_support
119327,119328,2,119327,HPSupport,support,False,2017-10-11 13:36:36+00:00,"Hi Agoura, thanks for tweeting. Please refer to this article: & click the link to reply back. ^Rashmi",,119328,twitter_support
119331,119331,1,119331,105860,customer,True,2017-10-11 13:47:14+00:00,They reschedule my shit for tomorrow,119330,,twitter_support
119330,119331,2,119330,105859,customer,True,2017-10-11 13:50:42+00:00,I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,119329,119331,twitter_support
119329,119331,3,119329,UPSHelp,support,False,2017-10-11 13:56:00+00:00,UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML,,119330,twitter_support
119332,119334,1,119332,Tesco,support,False,2017-10-11 13:34:06+00:00,"Hey Sara, sorry to hear of the issues you are having, can I ask if it's the lay out or just the speed of the website responding? TY - Chris",119333,119334,twitter_support
119333,119334,2,119333,105861,customer,True,2017-10-11 14:05:18+00:00,bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line,"119335,119336",119332,twitter_support
119335,119334,3,119335,Tesco,support,False,2017-10-11 15:38:07+00:00,"If that doesn't help please DM your full name, address and email including the browser and device so we can log this. Thanks - Lee 2/2",,119333,twitter_support
